page_name,page_url,axe_alt_els,axe_contrast_els,axe_els[AXE.INCOMPLETE_CRITICAL],axe_els[AXE.INCOMPLETE_MINOR],axe_els[AXE.INCOMPLETE_MODERATE],axe_els[AXE.INCOMPLETE_SERIOUS],axe_els[AXE.VIOLATIONS_CRITICAL],axe_els[AXE.VIOLATIONS_MINOR],axe_els[AXE.VIOLATIONS_MODERATE],axe_els[AXE.VIOLATIONS_SERIOUS],axe_err[AXE.INCOMPLETE_CRITICAL],axe_err[AXE.INCOMPLETE_MINOR],axe_err[AXE.INCOMPLETE_MODERATE],axe_err[AXE.INCOMPLETE_SERIOUS],axe_err[AXE.VIOLATIONS_CRITICAL],axe_err[AXE.VIOLATIONS_MINOR],axe_err[AXE.VIOLATIONS_MODERATE],axe_err[AXE.VIOLATIONS_SERIOUS],codesniffer_alt_els,codesniffer_contrast_els,codesniffer_els[WCAG.OPERABLE_ERROR],codesniffer_els[WCAG.OPERABLE_WARNING],codesniffer_els[WCAG.PERCEIVABLE_ERROR],codesniffer_els[WCAG.PERCEIVABLE_WARNING],codesniffer_els[WCAG.ROBUST_ERROR],codesniffer_els[WCAG.ROBUST_WARNING],codesniffer_els[WCAG.UNDERSTANDABLE_ERROR],codesniffer_err[WCAG.OPERABLE_ERROR],codesniffer_err[WCAG.OPERABLE_WARNING],codesniffer_err[WCAG.PERCEIVABLE_ERROR],codesniffer_err[WCAG.PERCEIVABLE_WARNING],codesniffer_err[WCAG.ROBUST_ERROR],codesniffer_err[WCAG.ROBUST_WARNING],codesniffer_err[WCAG.UNDERSTANDABLE_ERROR],lighthouse_desktop[audit-score_cumulative-layout-shift],lighthouse_desktop[audit-score_first-contentful-paint],lighthouse_desktop[audit-score_interactive],lighthouse_desktop[audit-score_largest-contentful-paint],lighthouse_desktop[audit-score_max-potential-fid],lighthouse_desktop[audit-score_speed-index],lighthouse_desktop[audit-score_total-blocking-time],lighthouse_desktop[audit-val_cumulative-layout-shift],lighthouse_desktop[audit-val_first-contentful-paint],lighthouse_desktop[audit-val_interactive],lighthouse_desktop[audit-val_largest-contentful-paint],lighthouse_desktop[audit-val_max-potential-fid],lighthouse_desktop[audit-val_speed-index],lighthouse_desktop[audit-val_total-blocking-time],lighthouse_desktop[cat-score_accessibility],lighthouse_desktop[cat-score_best-practices],lighthouse_desktop[cat-score_performance],lighthouse_desktop[cat-score_pwa],lighthouse_desktop[cat-score_seo],lighthouse_mobile[audit-score_cumulative-layout-shift],lighthouse_mobile[audit-score_first-contentful-paint],lighthouse_mobile[audit-score_interactive],lighthouse_mobile[audit-score_largest-contentful-paint],lighthouse_mobile[audit-score_max-potential-fid],lighthouse_mobile[audit-score_speed-index],lighthouse_mobile[audit-score_total-blocking-time],lighthouse_mobile[audit-val_cumulative-layout-shift],lighthouse_mobile[audit-val_first-contentful-paint],lighthouse_mobile[audit-val_interactive],lighthouse_mobile[audit-val_largest-contentful-paint],lighthouse_mobile[audit-val_max-potential-fid],lighthouse_mobile[audit-val_speed-index],lighthouse_mobile[audit-val_total-blocking-time],lighthouse_mobile[cat-score_accessibility],lighthouse_mobile[cat-score_best-practices],lighthouse_mobile[cat-score_performance],lighthouse_mobile[cat-score_pwa],lighthouse_mobile[cat-score_seo]
,https://www.adygnet.ru/,0,139,2,3,,123,1,1,5,16,2,1,,1,1,1,3,1,1,150,1,,74,155,43,12,,1,,4,9,2,1,,0.01,0.91,0.74,0.02,0.92,0.11,0.91,1.4408952154558,906.1105,3322.5355,6962.48,124,3959.6832392918,142.5,0.9,0.73,0.46,0.36,0.91,0.09,0.44,0.07,0,0.06,0.03,0.08,0.64305555555556,3173.653,15465.4055,32758.1695,552,13000.179709691,1965,0.9,0.73,0.09,0.42,0.91
,https://www.altstu.ru/,7,94,,,,80,7,,25,24,,,,1,1,,4,3,7,84,11,,22,89,,10,,1,,3,8,,1,,1,1,1,0.65,1,1,1,0.038132463514559,510.199,530.199,1953.199,49,680.91683111332,0,0.82,0.73,0.91,0.36,0.82,0.28,0.99,0.99,0.93,0.94,1,1,0.375546875,1089.218,2328.218,2331.218,114,1089.218,32,0.84,0.73,0.87,0.42,0.92
,https://www.asu.ru/,1,54,,1,,33,5,,15,43,,1,,1,2,,3,2,1,53,,2,20,66,29,1,,,1,5,7,5,1,,1,1,1,0.89,0.99,0.98,1,0.00052622699355605,465.82,576.82,1238.82,78,893.1571815771,14,0.62,0.8,0.97,0.18,0.64,1,0.91,0.89,0.02,0.63,0.94,0.72,0.0011197215363436,1740.016,3929.128,8282.016,211,2987.4549145115,365,0.62,0.73,0.65,0.17,0.54
,http://angtu.ru/,10,87,,7,,21,11,2,10,98,,1,,1,2,1,3,4,16,145,6,,93,115,20,,2,1,,8,11,2,,2,1,0.51,0.84,0.42,0.95,0.63,1,0.0035835404428125,1582.0155,2813.648,2666.0475,109,1981.9087581507,29.5,0.56,0.67,0.75,0.18,0.9,0.84,0.5,0.07,0.02,0.02,0.48,0.49,0.12195515950521,3010.344,15620.5675,8376.2565,697,5907.6995579388,614,0.66,0.53,0.38,0.25,0.9
,http://www.agpu.net/,6,129,11,14,,115,8,1,34,65,2,1,,1,3,1,4,7,31,134,4,1,95,239,58,7,,1,1,5,14,4,1,,0.66,0.11,0.25,0.04,0.77,0.03,0.7,0.1862336308338,2685.4325,6191.377,6186.8245,171,5157.0360358051,246.5,0.7,0.47,0.36,0.18,0.73,0.9,0.2,0,0,0.02,0,0.04,0.098876953125,4168.8500095367,45651.0905,14151.613,686,18135.945927141,2650.5,0.68,0.4,0.17,0.25,0.75
,https://narfu.ru/,0,100,1,2,,89,3,,26,18,1,1,,1,1,,3,3,7,110,1,,21,113,9,,1,1,,3,7,3,,1,1,1,1,1,1,1,1,0,212.767,212.767,212.767,16,334.87727916009,0,0.68,0.93,1,0.18,0.7,1,0.97,0.37,0.01,0.45,0.47,0.67,0.01021484375,1420.581,8612.803,9808.244,265,6014.3279348612,415.5,0.8,0.67,0.53,0.33,0.95
,https://asu.edu.ru/,21,81,,,,65,22,,21,24,,,,1,2,,3,3,23,103,1,,31,104,2,,1,1,,4,10,2,,1,1,0.9,0.83,0.66,0.71,0.69,0.93,0,937.752,2895.078,1924.326,188,1842.1030107754,130.5,0.58,0.73,0.84,0.36,0.91,1,0.87,0.11,0.64,0,0.48,0.06,0,1927.182,13805.769495911,3517.642,970,5945.8429691692,2235.5,0.7,0.73,0.47,0.42,0.92
,http://bgu.ru/,4,64,,3,,24,15,,145,44,,1,,1,2,,3,2,5,66,1,,52,164,3,2,1,1,,3,9,1,1,1,0.76,0.95,0.99,0.89,1,0.96,1,0.15135254820787,790.069,1401.605,1238.282,51,1087.4526561854,0.5,0.81,0.6,0.93,0.18,0.82,0.09,0.63,0.6,0.85,0.53,0.93,0.63,0.64266543918186,2624.655,6372.4045,2733.8025,242,3161.0220220119,452.5,0.81,0.53,0.63,0.17,0.83
,https://bspu.ru/,0,312,,,,284,1,,15,37,,,,1,1,,3,3,0,338,,,173,199,5,4,,,,3,10,4,1,,1,0.96,0.4,0.57,0.6,0.11,0.37,0.0053601791091282,757.093,5085.4695,2177.487,219,3905.8332643498,435,0.89,0.67,0.55,0.73,0.91,1,0.74,0,0,0,0.01,0,0.024751114988493,2312.381,32224.3595,10688.16,4194,14842.993406935,9265.0225,0.9,0.6,0.23,0.67,0.92
,https://bashedu.ru/,17,41,,12,,39,17,,3,24,,1,,1,1,,3,3,60,40,,12,62,104,9,25,,,1,3,6,3,2,,0.83,0.05,0.51,0,0.79,0.05,0.99,0.1254354421648,3185.004,4443.416,10049.158,166,4661.7759599659,67.5,0.88,0.87,0.48,0.36,0.75,0.85,0,0.13,0.01,0.03,0.05,0.64,0.11770733133952,8406.807,13119.096,9050.223,653,11579.728399489,442.5,0.88,0.87,0.34,0.42,0.76
