title,custom__category,base_url,custom__name_en,page__about_ru,page__about_en,readability_ru,readability_en
Московский государственный университет им. М. В. Ломоносова,общий,https://www.msu.ru/,Lomonosov Moscow State University,https://www.msu.ru/info/history5.html#nachalo,https://www.msu.ru/en/info/history5.html,"
{
    ""c_share"": 62.04620462046205,
    ""avg_slen"": 20.65909090909091,
    ""avg_syl"": 3.11001100110011,
    ""n_syllabes"": 2827,
    ""n_words"": 909,
    ""n_sentences"": 44,
    ""n_complex_words"": 564,
    ""n_simple_words"": 345,
    ""chars"": 7899,
    ""letters"": 6623,
    ""spaces"": 901,
    ""index_fl"": -6.933479347934764,
    ""index_flk"": 16.236034853485346,
    ""index_gf"": 33.08211821182118,
    ""index_SMOG"": 23.58215327284457
}","{
    ""c_share"": 25.22031053294167,
    ""avg_slen"": 27.39080459770115,
    ""avg_syl"": 1.9068401174989509,
    ""n_syllabes"": 4544,
    ""n_words"": 2383,
    ""n_sentences"": 87,
    ""n_complex_words"": 601,
    ""n_simple_words"": 1782,
    ""chars"": 15806,
    ""letters"": 12829,
    ""spaces"": 2346,
    ""index_fl"": 17.71465939292213,
    ""index_flk"": 17.593127179591068,
    ""index_dc"": 5.340870941197467,
    ""index_gf"": 21.04444605225713,
    ""index_SMOG"": 18.144003504231364
}"
"Национальный исследовательский университет ""Высшая школа экономики""",гуманитарный,https://www.hse.ru/,National Research University Higher School of Economics,https://www.hse.ru/info/,https://www.hse.ru/en/info/,"{
    ""c_share"": 58.22784810126582,
    ""avg_slen"": 15.047619047619047,
    ""avg_syl"": 3.060126582278481,
    ""n_syllabes"": 967,
    ""n_words"": 316,
    ""n_sentences"": 21,
    ""n_complex_words"": 184,
    ""n_simple_words"": 132,
    ""chars"": 2619,
    ""letters"": 2217,
    ""spaces"": 312,
    ""index_fl"": 3.3594876431585305,
    ""index_flk"": 13.122257383966247,
    ""index_gf"": 29.31018685955395,
    ""index_SMOG"": 20.03912306326044
}","{
    ""c_share"": 31.01851851851852,
    ""avg_slen"": 24.0,
    ""avg_syl"": 2.1481481481481484,
    ""n_syllabes"": 464,
    ""n_words"": 216,
    ""n_sentences"": 9,
    ""n_complex_words"": 67,
    ""n_simple_words"": 149,
    ""chars"": 1559,
    ""letters"": 1297,
    ""spaces"": 212,
    ""index_fl"": 0.7416666666666742,
    ""index_flk"": 19.118148148148155,
    ""index_dc"": 6.088224074074075,
    ""index_gf"": 22.00740740740741,
    ""index_SMOG"": 18.71604785175511
}"
Санкт-Петербургский государственный университет,общий,https://spbu.ru/,St. Petersburg State University,https://spbu.ru/history,https://english.spbu.ru/our-university/about-st-petersburg-university/history,,
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации (РАНХиГС),гуманитарный,https://www.ranepa.ru/,Russian Presidential Academy of National Economy and Public Administration,https://www.ranepa.ru/ob-akademii/,https://www.ranepa.ru/eng/about-academy-ranepa/at-a-glance/,"{
    ""c_share"": 58.103975535168196,
    ""avg_slen"": 18.166666666666668,
    ""avg_syl"": 2.923547400611621,
    ""n_syllabes"": 956,
    ""n_words"": 327,
    ""n_sentences"": 18,
    ""n_complex_words"": 190,
    ""n_simple_words"": 137,
    ""chars"": 2728,
    ""letters"": 2282,
    ""spaces"": 319,
    ""index_fl"": 7.513134556574926,
    ""index_flk"": 13.653562691131498,
    ""index_gf"": 30.508256880733946,
    ""index_SMOG"": 21.689421028114428
}","{
    ""c_share"": 29.26829268292683,
    ""avg_slen"": 23.428571428571427,
    ""avg_syl"": 2.0304878048780486,
    ""n_syllabes"": 333,
    ""n_words"": 164,
    ""n_sentences"": 7,
    ""n_complex_words"": 48,
    ""n_simple_words"": 116,
    ""chars"": 1105,
    ""letters"": 898,
    ""spaces"": 162,
    ""index_fl"": 11.275731707317107,
    ""index_flk"": 17.506898954703832,
    ""index_dc"": 5.78352055749129,
    ""index_gf"": 21.078745644599305,
    ""index_SMOG"": 18.08858127442927
}"
Казанский (Приволжский) федеральный университет,общий,https://kpfu.ru/,Kazan Federal University,https://kpfu.ru/about_university/istoriya-universiteta,https://eng.kpfu.ru/mission-strategy/,"{
    ""c_share"": 69.62457337883959,
    ""avg_slen"": 24.416666666666668,
    ""avg_syl"": 3.358361774744027,
    ""n_syllabes"": 984,
    ""n_words"": 293,
    ""n_sentences"": 12,
    ""n_complex_words"": 204,
    ""n_simple_words"": 89,
    ""chars"": 2598,
    ""letters"": 2269,
    ""spaces"": 284,
    ""index_fl"": -26.744209328782688,
    ""index_flk"": 19.890207622298067,
    ""index_gf"": 37.61649601820251,
    ""index_SMOG"": 26.683356303267143
}","{
    ""c_share"": 26.4797507788162,
    ""avg_slen"": 35.666666666666664,
    ""avg_syl"": 1.9408099688473521,
    ""n_syllabes"": 623,
    ""n_words"": 321,
    ""n_sentences"": 9,
    ""n_complex_words"": 85,
    ""n_simple_words"": 236,
    ""chars"": 2093,
    ""letters"": 1695,
    ""spaces"": 310,
    ""index_fl"": 6.440809968847361,
    ""index_flk"": 21.22155763239876,
    ""index_dc"": 5.950219314641744,
    ""index_gf"": 24.858566978193146,
    ""index_SMOG"": 20.685406084519414
}"
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,общий,https://urfu.ru/,Ural Federal University,https://urfu.ru/ru/about/today/mission/,https://urfu.ru/en/about-the-university/,"{
    ""c_share"": 72.04301075268818,
    ""avg_slen"": 23.25,
    ""avg_syl"": 3.763440860215054,
    ""n_syllabes"": 350,
    ""n_words"": 93,
    ""n_sentences"": 4,
    ""n_complex_words"": 67,
    ""n_simple_words"": 26,
    ""chars"": 897,
    ""letters"": 793,
    ""spaces"": 90,
    ""index_fl"": -49.57279569892472,
    ""index_flk"": 22.275618279569894,
    ""index_gf"": 38.11720430107527,
    ""index_SMOG"": 26.50952177763267
}","{
    ""c_share"": 32.323232323232325,
    ""avg_slen"": 49.5,
    ""avg_syl"": 2.121212121212121,
    ""n_syllabes"": 210,
    ""n_words"": 99,
    ""n_sentences"": 2,
    ""n_complex_words"": 32,
    ""n_simple_words"": 67,
    ""chars"": 696,
    ""letters"": 587,
    ""spaces"": 96,
    ""index_fl"": -22.86204545454541,
    ""index_flk"": 28.74530303030303,
    ""index_dc"": 7.559038383838384,
    ""index_gf"": 32.72929292929293,
    ""index_SMOG"": 25.98008509911553
}"
Томский Государственный университет,общий,http://www.tsu.ru/,Tomsk State University,https://www.tsu.ru/university/mission.php,https://en.tsu.ru/about/mission.php,"{
    ""c_share"": 69.56521739130434,
    ""avg_slen"": 53.666666666666664,
    ""avg_syl"": 3.406832298136646,
    ""n_syllabes"": 1097,
    ""n_words"": 322,
    ""n_sentences"": 6,
    ""n_complex_words"": 224,
    ""n_simple_words"": 98,
    ""chars"": 2928,
    ""letters"": 2561,
    ""spaces"": 312,
    ""index_fl"": -67.68228778467912,
    ""index_flk"": 34.576542443064184,
    ""index_gf"": 49.2927536231884,
    ""index_SMOG"": 38.03455630700163
}","{
    ""c_share"": 34.25692695214106,
    ""avg_slen"": 56.714285714285715,
    ""avg_syl"": 2.1435768261964734,
    ""n_syllabes"": 851,
    ""n_words"": 397,
    ""n_sentences"": 7,
    ""n_complex_words"": 136,
    ""n_simple_words"": 261,
    ""chars"": 2789,
    ""letters"": 2357,
    ""spaces"": 387,
    ""index_fl"": -32.07659949622163,
    ""index_flk"": 31.822777977689814,
    ""index_dc"": 8.222197337171645,
    ""index_gf"": 36.38848506657071,
    ""index_SMOG"": 28.30965916773891
}"
Томский Политехнический университет,общий технический,https://www.tpu.ru/,Tomsk Polytechnic University,https://www.tpu.ru/university/meet-tpu/history,https://www.tpu.ru/en/about/tpu_today/tpu_history,"{
    ""c_share"": 56.05749486652977,
    ""avg_slen"": 16.79310344827586,
    ""avg_syl"": 2.828542094455852,
    ""n_syllabes"": 2755,
    ""n_words"": 974,
    ""n_sentences"": 58,
    ""n_complex_words"": 546,
    ""n_simple_words"": 428,
    ""chars"": 7722,
    ""letters"": 6508,
    ""spaces"": 954,
    ""index_fl"": 15.008585640444693,
    ""index_flk"": 12.28697797918289,
    ""index_gf"": 29.140239325922256,
    ""index_SMOG"": 20.65689399735726
}","{
    ""c_share"": 31.847725162488395,
    ""avg_slen"": 21.979591836734695,
    ""avg_syl"": 2.066852367688022,
    ""n_syllabes"": 2226,
    ""n_words"": 1077,
    ""n_sentences"": 49,
    ""n_complex_words"": 343,
    ""n_simple_words"": 734,
    ""chars"": 7608,
    ""letters"": 6140,
    ""spaces"": 1062,
    ""index_fl"": 9.670003979307637,
    ""index_flk"": 17.370898755045193,
    ""index_dc"": 6.118943558258959,
    ""index_gf"": 21.530926799689237,
    ""index_SMOG"": 18.243605946275583
}"
"Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики (ИТМО)",спец технический,https://itmo.ru/,ITMO University,https://itmo.ru/ru/page/207/ob_universitete.htm,https://en.itmo.ru/en/page/42/Facts_&_Figures.htm,"{
    ""c_share"": 54.08299866131191,
    ""avg_slen"": 14.647058823529411,
    ""avg_syl"": 2.8393574297188753,
    ""n_syllabes"": 2121,
    ""n_words"": 747,
    ""n_sentences"": 51,
    ""n_complex_words"": 404,
    ""n_simple_words"": 343,
    ""chars"": 6096,
    ""letters"": 4857,
    ""spaces"": 772,
    ""index_fl"": 17.148442003307366,
    ""index_flk"": 11.3143680604772,
    ""index_gf"": 27.49202299393653,
    ""index_SMOG"": 19.207785123296546
}","{
    ""c_share"": 22.834645669291337,
    ""avg_slen"": 15.875,
    ""avg_syl"": 1.7716535433070866,
    ""n_syllabes"": 225,
    ""n_words"": 127,
    ""n_sentences"": 8,
    ""n_complex_words"": 29,
    ""n_simple_words"": 98,
    ""chars"": 779,
    ""letters"": 632,
    ""spaces"": 125,
    ""index_fl"": 40.839985236220485,
    ""index_flk"": 11.506761811023622,
    ""index_dc"": 4.392990551181103,
    ""index_gf"": 15.483858267716537,
    ""index_SMOG"": 14.005844860021309
}"
Сибирский Федеральный Университет,общий,https://www.sfu-kras.ru/,Siberian Federal University,https://about.sfu-kras.ru/,https://www.sfu-kras.ru/en/about,"{
    ""c_share"": 57.52528256989887,
    ""avg_slen"": 21.83116883116883,
    ""avg_syl"": 2.9393218322427126,
    ""n_syllabes"": 4941,
    ""n_words"": 1681,
    ""n_sentences"": 77,
    ""n_complex_words"": 967,
    ""n_simple_words"": 714,
    ""chars"": 14076,
    ""letters"": 11693,
    ""spaces"": 1649,
    ""index_fl"": 1.8012384016934675,
    ""index_flk"": 15.564322102644528,
    ""index_gf"": 31.742580560427083,
    ""index_SMOG"": 23.373868280404515
}","{
    ""c_share"": 25.832279814580698,
    ""avg_slen"": 23.038834951456312,
    ""avg_syl"": 1.9485882848714706,
    ""n_syllabes"": 4624,
    ""n_words"": 2373,
    ""n_sentences"": 103,
    ""n_complex_words"": 613,
    ""n_simple_words"": 1760,
    ""chars"": 15990,
    ""letters"": 12981,
    ""spaces"": 2236,
    ""index_fl"": 18.600013624145447,
    ""index_flk"": 16.388487392551315,
    ""index_dc"": 5.221643196314526,
    ""index_gf"": 19.548445906414806,
    ""index_SMOG"": 17.06569118592115
}"
