title;custom__category;base_url;custom__name_en;custom__unirank;custom__forbes_rank;custom__raex_rank;custom__qs_rank;custom__the_rank;custom__city;custom__region;page__1;page__2;page__3;site_error;vi_not_work;vi_found;vi_m_f;vi_b_f;vi_is_panel;vi_is_apply_changes;vi_is_reload;vi_is_cross_pages;vi_font_sizes;vi_color_schemes;vi_pictures_modes;vi_font_sizes_wc;vi_color_schemes_wc;vi_pictures_switch_wc;vi_line_spacing;vi_letter_spacing;vi_scroll;vi_scale_br;vi_another_content;vi_fonts_switch;site_engine;vi_source;site_lang;site_front;site_crm
Адыгейский государственный университет;общий;https://www.adygnet.ru/;Adyghe State University;274;;;;;Майкоп;1;https://www.adygnet.ru/;https://www.adygnet.ru/applicants/priemnaya-kampaniya-2021/;https://www.adygnet.ru/zhizn-v-agu/kampus/tsentr-kultury/;;;1;1;0;1;1;0;1;3;3;2;0;0;0;0;0;0;0;;;1c-bitrix;bitrix special-aaVersion;php;;
Алтайский Государственный Технический Университет им. И.И. Ползунова;общий технический;https://www.altstu.ru/;Polzunov Altai State Technical University;131;;100;;;Барнаул;22;https://www.altstu.ru/;https://pk.altstu.ru/;https://www.altstu.ru/structure/unit/ckmr/;;;1;1;1;1;1;0;1;3;2;0;1;1;0;0;0;1;;;;;;;;
Алтайский государственный университет;общий;https://www.asu.ru/;Altai State University;26;59;49;18;;Барнаул;22;https://www.asu.ru/;https://abiturient.asu.ru/;https://www.asu.ru/university_life/culture/life/;;;1;1;1;1;1;1;1;3;3;0;1;1;0;0;0;1;;;;;;;;
Ангарский государственный технический университет;общий;http://angtu.ru/;;;;;;;Ангарск;38;http://angtu.ru/;http://angtu.ru/applicants/the_admissions_committee/index.php;http://angtu.ru/universitet/departments/;;;1;1;1;1;1;;1;3;3;2;1;1;;;;0;1;;;1c-bitrix;bitrix special-aaVersion;php;preact;
Армавирский государственный педагогический институт;гуманитарный;http://www.agpu.net/;;;;;;;Армавир;23;http://www.agpu.net/;http://priem.agpu.net/;http://www.agpu.net/studgorodok/ckmr/Default.aspx;;;1;0;1;1;1;;1;5;3;2;1;1;0;1;1;;;;2;1c-bitrix;lidrekon.ru;php;;
Северный (Арктический) федеральный университет им. М. В. Ломоносова;общий;https://narfu.ru/;Northern Arctic Federal University;32;;86;;;Архангельск;29;https://narfu.ru/;https://narfu.ru/entrant/priem/;https://narfu.ru/life/sport/;;;1;;1;1;1;1;1;3;0;0;1;;;;;1;;;;1c-bitrix;;php;;
Астраханский государственный университет;общий;https://asu.edu.ru/;Astrakhan State University;113;;;;;Астрахань;30;https://asu.edu.ru/;https://asu.edu.ru/Abitur/11074-priemnaia-kampaniia-2021.html;https://asu.edu.ru/club/;;;1;1;1;1;1;1;1;3;5;3;1;1;1;;;;;;;;isvek.ru (bvi);;;
Байкальский государственный университет;общий;http://bgu.ru/;Baikal State University;260;;;;;Иркутск;38;http://bgu.ru/;http://bgu.ru/abitur/;http://bgu.ru/student/paral/default.aspx;;;1;1;1;1;1;;1;4;3;;0;1;;;;1;;;;;;asp.net;;
Башкирский государственный педагогический университет им. М. Акмуллы;гуманитарный;https://bspu.ru/;M. Akmullah Bashkir State Pedagogical University;103;;;;;Уфа;2;https://bspu.ru/;https://bspu.ru//abitur/index.php;https://bspu.ru/page/open_door_spring_2021;;;1;1;1;1;1;;1;3;;;1;;;;;;;;;laravel;;php;;
Башкирский государственный университет;общий;https://bashedu.ru/;Bashkir State University;60;;;;9;Уфа;2;https://bashedu.ru/;https://pk.bashedu.ru/;https://bashedu.ru/studencheskaya-zhizn;;1;;;;;;;;;;;;;;;;;;;;drupal;;php;;
Белгородский государственный технологический университет имени В. Г. Шухова;спец технический ;https://www.bstu.ru/;Belgorod State Technological University;181;;58;;;Белгород;31;https://www.bstu.ru/;https://www.bstu.ru/abitur;https://www.bstu.ru/beside_study_activity/student_days/sso;;;1;1;1;1;1;;1;3;4;2;1;1;1;1;1;;;;2;kohana;;php;;
Алтайский государственный гуманитарно-педагогический университет имени В. М. Шукшина;гуманитарный;http://www2.bigpi.biysk.ru/wwwsite/news.php;;;;;;;Бийск;22;http://www2.bigpi.biysk.ru/wwwsite/news.php;http://www2.bigpi.biysk.ru/pk/news.php;http://www2.bigpi.biysk.ru/wwwsite/viewpage.php?page_id=343;;;1;1;1;1;;1;1;3;3;2;1;;;;;;1;;;;;php;;
Приамурский Государственный университет имени Шолом-Алейхема;общий;http://pgusa.ru/;;;;;;;Биробиджан;79;http://pgusa.ru/;http://pgusa.ru/ru/abitur;http://pgusa.ru/ru/studentu/praktiki;;;1;1;1;1;1;1;1;3;3;2;1;1;1;;;;1;;2;drupal;;php;;
Бирский филиал Башкирского государственного университета;общий;https://www.birsk.ru/;;;;;;;Бирск;2;https://www.birsk.ru/;https://www.birsk.ru/node/136;https://www.birsk.ru/node/130;;;1;0;1;1;;;;3;3;;0;0;0;;1;;;;;drupal;;php;;
Благовещенский Государственный Педагогический Университет;гуманитарный;https://bgpu.ru/;Blagoveshchensk State Pedagogical University;263;;;;;Благовещенск;28;https://bgpu.ru/index.jsp;https://bgpu.ru/abitur/;https://bgpu.ru/facs/index.html;;1;1;1;;;;;;;;;;;;;;1;;;;;;java;;
Братский государственный технический университет;общий технический;https://brstu.ru/;;;;;;;Братск;38;https://brstu.ru/;https://brstu.ru/abitur;https://brstu.ru/studentu/otdel-vneuchebnoj-raboty;;;1;1;1;;;;;3;5;2;1;1;1;;;1;;;2;joomla;joomla template Accessibility;php;;
Брянский государственный инженерно-технологический университет;спец технический ;http://bgitu.ru/;;;;;;;Брянск;32;http://bgitu.ru/;http://bgitu.ru/abitur/;http://bgitu.ru/universitetskaya-zhizn/;;;1;1;1;1;1;;1;2;5;2;1;1;1;1;1;;1;;2;1c-bitrix;prolexgroup.ru/special;php;;
Брянский государственный технический университет;общий технический;https://www.tu-bryansk.ru/;;;;;;;Брянск;32;https://www.tu-bryansk.ru/;https://www.tu-bryansk.ru/abiturient/;https://www.tu-bryansk.ru/mainpage/students/stud-ob;;;1;1;1;1;1;1;1;3;5;3;1;1;;1;1;1;;1;2;1c-bitrix;slabovid.ru (mibok);php;;
Брянский государственный университет им. И. Г. Петровского;общий;https://brgu.ru/;Bryansk State University;249;;;;;Брянск;32;https://brgu.ru/;https://brgu.ru/Abitur/;https://brgu.ru/student/;;;1;1;1;1;1;;0;10;3;3;1;1;;1;;1;;;;1c-bitrix;finevision.ru;php;;
Бурятский государственный университет им. Доржи Банзарова;общий;https://www.bsu.ru/;Buryat State University;106;;;;;Улан-Удэ;3;https://www.bsu.ru/;https://www.bsu.ru/abit/;https://www.bsu.ru/university/departments/faculties/;;;1;1;1;;1;;1;;;;;;;;;;1;;;;;;;
Владивостокский государственный университет экономики и сервиса;гуманитарный;https://www.vvsu.ru/;Vladivostok State University of Economics and Service;59;;;;;Владивосток;25;https://www.vvsu.ru/;https://www.vvsu.ru/enter/;https://mc.vvsu.ru/student-government/council/;;;1;1;1;;1;1;1;;;;;;;;;;;;;;;php;;bitrix24
Владимирский государственный университет;общий;http://vlsu.ru/;Vladimir State University for the Humanities;79;;;;;Владимир;33;http://vlsu.ru/;https://prkom.vlsu.ru/index.html;http://www.vlsu.ru/index.php?id=837;;;1;1;0;;1;1;0;;;;;;;;;1;;;;typo3;;php;;
Волгоградский государственный технический университет;общий технический;http://www.vstu.ru/;Volgograd State Technical University;73;;93;;8;Волгоград;34;http://www.vstu.ru/;https://welcome.vstu.ru/;https://www.vstu.ru/student/studencheskie-otryady-volggtu/;;;1;1;1;1;1;1;1;3;3;;1;1;;;;;;;;1c-bitrix;;php;;
Волгоградский государственный технический университет Институт архитектуры и строительства;архитектурный ;https://vgasu.ru/;;;;;;;Волгоград;34;https://vgasu.ru/;https://vgasu.ru/abitur/;https://vgasu.ru/student/vneuchebnaya-deyatelnost/;;;1;0;1;1;1;;1;3;3;;1;1;;;;;;;;1c-bitrix;;php;;
Волгоградский государственный социально-педагогический университет;гуманитарный;https://vspu.ru/;Volgograd State Socio-Pedagogical University;84;;;;;Волгоград;34;https://vspu.ru/;https://vspu.ru/prcom;https://vspu.ru/ckd;;;1;1;1;1;1;1;1;10;3;2;1;1;1;1;1;1;1;;2;drupal;finevision.ru;php;;
Волгоградский государственный университет;общий;https://volsu.ru/;Volgograd State University;108;;76;;;Волгоград;34;https://volsu.ru/;https://volsu.ru/enter-volsu/;https://volsu.ru/student/;;;1;1;1;1;1;1;1;3;;2;1;;1;;;;;;;1c-bitrix;;php;vue.js;
Вологодский государственный университет;общий;https://vogu35.ru/;Vologda State University;189;;;;;Вологда;35;https://vogu35.ru/;https://priem.vogu35.ru/;https://vogu35.ru/studentu;;;1;1;0;1;1;1;1;3;3;2;1;1;;;;1;;1;;joomla;joomla template Accessibility;php;;
Воронежский государственный университет инженерных технологий;спец технический ;https://vsuet.ru/;Voronezh State University of Engineering Technology;276;;;;;Воронеж;36;https://vsuet.ru/;https://vsuet.ru/abitur;https://vsuet.ru/sveden/struct/public-org/stud_staff;;;1;1;0;1;1;1;1;3;5;2;1;1;;;1;;;1;2;joomla;joomla template Accessibility;php;;
Воронежский государственный педагогический университет;гуманитарный;http://www.vspu.ac.ru/;Voronezh State Pedagogical University;165;;;;;Воронеж;36;http://www.vspu.ac.ru/;http://www.vspu.ac.ru/Abitur;http://www.vspu.ac.ru/student;;;1;1;1;1;1;;1;3;4;2;1;1;1;;1;1;;;3;laravel;;php;;
Воронежский государственный технический университет;общий технический;https://cchgeu.ru/;Voronezh State Technical University;100;;94;;;Воронеж;36;https://cchgeu.ru/;https://cchgeu.ru/abiturientu/;https://cchgeu.ru/education/inst/;;;1;1;1;1;1;1;1;3;4;2;1;1;1;;1;;;;2;1c-bitrix;;php;;
Воронежский государственный университет;общий;https://www.vsu.ru/;Voronezh State University;23;47;45;23;9;Воронеж;36;https://www.vsu.ru/;http://www.abitur.vsu.ru/;https://www.vsu.ru/ru/university/structure/faculties/;;;1;1;0;1;1;1;1;3;3;;1;1;;;;;;1;;;;java;;
Восточно-Сибирский государственный университет технологий и управления;спец технический ;https://esstu.ru/;East Siberia State University of Technology and Management;267;;;;;Улан-Удэ;3;https://esstu.ru/;https://esstu.ru/uportal/priem/index.htm;https://esstu.ru/uportal/student/student.htm;;;1;1;0;1;1;;1;3;3;2;1;1;1;;;1;;1;;;;java;;
Финансовый университет при Правительстве РФ;гуманитарный;http://www.fa.ru/;Finance Academy under the Government of the Russian Federation;19;21;13;22;;Москва;77;http://www.fa.ru/Pages/Home.aspx;http://www.fa.ru/priemka/pk/Pages/Home.aspx;http://www.fa.ru/Lists/MainMenu/AllItems.aspx?Rootfolder=%2FLists%2FMainMenu%2F%D0%A1%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B0%D0%BC;;;1;1;0;1;1;1;1;3;3;2;1;0;1;;1;;;;2;;;asp.net;;
Вятский Государственный университет;общий;https://www.vyatsu.ru/;Vyatka State University;74;;;;;Киров;43;https://www.vyatsu.ru/;https://new.vyatsu.ru/admission/;https://www.vyatsu.ru/studentu-1.html;;;1;1;0;1;1;1;1;3;5;2;1;1;1;;1;1;;1;2;;;php;;
Глазовский государственный педагогический институт имени В.Г. Короленко;гуманитарный;http://www.ggpi.org/;;;;;;;Глазов;18;http://www.ggpi.org/news.php;http://priem.ggpi.org/;http://www.ggpi.org/viewpage.php?page_id=330;;;1;1;0;1;1;1;1;3;3;;1;1;;;1;1;1;1;2;wordpress;;php;;
Горно-Алтайский государственный университет;общий;http://www.gasu.ru/;Gorno-Altaisk State University;173;;;;;Горно-Алтайск;4;http://www.gasu.ru/;http://www.gasu.ru/abitur/;http://www.gasu.ru/culture-and-sport/;;;1;1;1;1;1;;1;3;3;2;1;1;1;;;;;;;1c-bitrix;bitrix special-aaVersion;php;;
РГУ имени Косыгина, академия им. Маймонида;искусство и культура;https://kosygin-rgu.ru/;Russian State University A.N. Kosygin;206;;;;;Москва;77;https://kosygin-rgu.ru/;https://kosygin-rgu.ru/abiturient/index.aspx;https://kosygin-rgu.ru/vuz/student/index.aspx;;;1;1;1;1;1;;1;10;5;3;0;1;1;1;1;1;;;2;;isvek.ru (bvi);asp.net;;
Государственный институт русского языка им. А. С. Пушкина;гуманитарный ;https://www.pushkin.institute/;Pushkin State Russian Language Institute;178;35;;;;Москва;77;https://www.pushkin.institute/;https://www.pushkin.institute/education/enrollees.php;https://www.pushkin.institute/our_life/student_news/;;;1;0;1;;1;;1;;;;;;;;;;;;;1c-bitrix;;php;;
"Национальный исследовательский университет ""Высшая школа экономики""";гуманитарный;https://www.hse.ru/;National Research University Higher School of Economics;2;1;5;7;3;Москва;77;https://www.hse.ru/;https://ba.hse.ru/;https://www.hse.ru/education/faculty/;;;1;1;1;1;0;0;1;3;5;2;1;1;1;;1;;;;;;;;;
Государственный академический университет гуманитарных наук;гуманитарный;https://gaugn.ru/;;;69;;;;Москва;77;https://gaugn.ru/;https://gaugn.ru/forentrant/abitur/;https://gaugn.ru/forstudent/navigate/;;;1;1;1;1;1;1;0;3;5;3;1;1;1;1;1;;;1;2;1c-bitrix;slabovid.ru (mibok);php;;
Государственный университет управления;гуманитарный;https://guu.ru/;The State University of Management;118;28;85;;;Москва;77;https://guu.ru/;http://priem.guu.ru/;https://guu.ru/%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B0%D0%BC/;;;1;0;1;1;1;;1;10;5;3;1;0;1;1;1;;;;2;wordpress;isvek.ru (bvi);php;;
Грозненский государственный нефтяной технический университет имени академика М. Д. Миллионщикова;спец технический;https://gstou.ru/;;;;;;;Грозный;95;https://gstou.ru/;https://gstou.ru/abitur/;https://gstou.ru/university/business.php;;1;;;;;;;;;;;;;;;;;;;;;;php;;
Дагестанский Государственный Педагогический университет;гуманитарный;http://dgpu.net/ru/;;;;;;;Махачкала;5;http://dgpu.net/ru/;http://dgpu.net/ru/abitur;http://dgpu.net/ru/fakultety-i-kafedry/fakultety;;;1;1;;1;;;;10;;;1;;;;;1;;;;joomla;;php;;
Дагестанский государственный технический университет;общий технический;http://dstu.ru/;;;;;;;Махачкала;5;http://dstu.ru/;http://dstu.ru/abitur/;http://dstu.ru/fakultety/;;;1;1;1;;1;1;1;5;;;0;;;;;1;;;;typo3;;php;;
Дагестанский государственный университет;общий;http://www.dgu.ru/;Dagestan State University;203;;;;;Махачкала;5;http://www.dgu.ru/;http://dgu.ru/Abitur/;http://vs.dgu.ru/;;;1;1;1;1;1;1;0;10;;;1;;;;;1;1;;;joomla;;php;;
Дальневосточный федеральный университет;общий;https://www.dvfu.ru/;Far Eastern Federal University;25;41;25;16;9;Владивосток;25;https://www.dvfu.ru/;https://www.dvfu.ru/admission/;https://www.dvfu.ru/student-life/;;;1;1;1;1;1;;1;10;5;3;1;0;0;1;1;;;;2;1c-bitrix;isvek.ru (bvi);php;;
Донской государственный технический университет;общий технический;https://donstu.ru/;Don State Technical University;72;;73;24;5;Ростов-на-Дону;61;https://donstu.ru/;https://donstu.ru/priemnaya-kampaniya/;https://donstu.ru/structure/science-education/;;;1;1;1;1;;;1;4;4;;1;0;;;;;1;;3;1c-bitrix;userway.org;php;vue.js;
Казанский (Приволжский) федеральный университет;общий;https://kpfu.ru/;Kazan Federal University;5;22;20;10;7;Казань;16;https://kpfu.ru/;https://admissions.kpfu.ru/;https://kpfu.ru/science;;;1;1;1;1;1;;1;10;5;3;1;1;;1;1;;;;2;;isvek.ru (bvi);php;alpine.js;
Елецкий государственный университет имени И. А. Бунина;общий;http://elsu.ru/;;;;;;;Елец;48;http://elsu.ru/;http://elsu.ru/pk/;http://elsu.ru/3578-instituty.html;;;1;0;1;0;1;1;1;;;;;;;;;;;;;dle;;php;;
Забайкальский государственный университет;общий;http://www.zabgu.ru/;Transbaikal State University;229;;;;;Чита;75;http://www.zabgu.ru/;http://entrant.zabgu.ru/;http://www.zabgu.ru/php/faculties.php;;;1;1;1;1;1;1;1;3;3;;1;1;;;1;1;;;2;;;php;;
Ивановский государственный политехнический университет;общий технический;https://ivgpu.com/;Ivanovo State Polytechnic University;298;;;;;Иваново;37;https://ivgpu.com/;https://ivgpu.com/abitur;https://ivgpu.com/studentu/trudoustrojstvo-i-praktika;;;1;1;1;;1;1;1;;;;;;;;;1;1;;;joomla;;php;;
Ивановский государственный университет;общий;http://ivanovo.ac.ru/;Ivanovo State University;144;;;;;Иваново;37;http://ivanovo.ac.ru/;https://abitur.ivanovo.ac.ru/;http://ivanovo.ac.ru/about_the_university/faculty/;;1;;;;;;;;;;;;;;;;;;;;1c-bitrix;;php;;
Ивановский государственный химико-технологический университет;спец технический;https://www.isuct.ru/;Ivanovo State University of Chemistry and Technology;154;;;;9;Иваново;37;https://www.isuct.ru/;https://www.isuct.ru/Abitur;https://www.isuct.ru/student;;;1;1;1;1;1;;1;5;5;2;1;1;1;1;1;;;;2;drupal;vi-panel;php;;
Ивановский государственный энергетический университет им. В.И.Ленина;спец технический;http://ispu.ru/;Ivanovo State Power University;76;;;;;Иваново;37;http://ispu.ru/;http://ispu.ru/Abiturientu;http://ispu.ru/uch;;;1;1;;1;;;1;2;;;;;1;;;1;;;;drupal;;php;;
Ижевский государственный технический университет имени М.Т. Калашникова;общий технический;https://istu.ru/;Kalashnikov Izhevsk State Technical University;125;;;;;Ижевск;18;https://istu.ru/;https://istu.ru/category/priem;https://istu.ru/department/intsituty-i-fakultety;;;1;1;1;;1;1;1;;;;;;;;;;;;;laravel;;php;;
Ингушский государственный университет;общий;http://inggu.ru/;;;;;;;Магас;6;http://inggu.ru/;http://inggu.ru/abitur/;http://inggu.ru/about_the_university/departments/;;;1;1;1;1;1;;1;3;3;2;0;0;1;;;;;;;1c-bitrix;bitrix special-aaVersion;php;;
Иркутский государственный университет;общий;https://isu.ru/;Irkutsk State University;41;;;23;9;Иркутск;38;https://isu.ru/;http://priem.isu.ru/;https://isu.ru/ru/university/structure/faculties/main/;;;1;1;1;1;1;;1;10;;;1;;;;;;;;;;;;vue.js;
Кабардино-Балкарского государственного университета имени Х.М. Бербекова;общий;https://kbsu.ru/;Kabardino-Balkarian State University;99;;90;;;Нальчик;7;https://kbsu.ru/;https://pk.kbsu.ru/;https://kbsu.ru/podrazdelenija/studentam/;;;1;1;0;1;1;1;1;3;5;2;1;1;;1;1;;;;3;wordpress;Comfortable Reading Plugin;php;;
Казанский государственный архитектурно-строительный университет;архитектурный;https://www.kgasu.ru/;Kazan State University of Architecture and Engineering;273;;;;;Казань;16;https://www.kgasu.ru/;https://www.kgasu.ru/applicant/;https://www.kgasu.ru/student/;;;1;1;1;1;1;1;1;3;5;3;1;1;1;1;1;;1;;2;1c-bitrix;slabovid.ru (mibok);php;;
Казанский национальный исследовательский технический университет (КАИ) им А. Н. Туполева;спец технический;https://kai.ru/;Kazan National Research Technical University named after A.N. Tupolev - KAI;114;44;43;22;9;Казань;16;https://kai.ru/;https://abiturientu.kai.ru/main;https://kai.ru/web/vneucebnaa-rabota/main;;;1;1;1;1;1;1;1;3;5;;1;;;;;;;;;liferay;;java;;
Казанский национальный исследовательский технологический университет;спец технический;https://www.kstu.ru/;Kazan State Technological University;133;75;83;;9;Казань;16;https://www.kstu.ru/;https://www.kstu.ru/1leveltest.jsp?idparent=2813;https://www.kstu.ru/article.jsp?id_e=11208;;;1;1;1;1;1;;1;10;5;3;1;1;0;1;1;;1;;2;;isvek.ru (bvi);java;;
Казанский Государственный энергетический университет;общий;https://kgeu.ru/;Kazan State Power Engineering University;188;;;;;Казань;16;https://kgeu.ru/;https://kgeu.ru/Abitur;https://kgeu.ru/Section/News?idSection=4&pageNum=0;;;1;1;1;1;1;;1;10;5;3;1;1;1;1;1;1;1;;2;;isvek.ru (bvi);asp.net;;
Балтийский федеральный университет им. Иммануила Канта;общий;https://kantiana.ru/;Immanuel Kant Baltic Federal University;56;67;77;20;9;Калининград;39;https://kantiana.ru/;https://kantiana.ru/abiturientu/;https://kantiana.ru/learners/process-obuchenija/studencheskaja-zhizn/student-government/;;;1;1;1;1;1;;1;10;5;3;1;1;1;1;1;;;;3;1c-bitrix;;php;;
Калининградский государственный технический университет;общий технический;http://www.klgtu.ru/;Kaliningrad State Technical University;223;;;;;Калининград;39;http://www.klgtu.ru/;https://klgtu.ru/abitur/;https://klgtu.ru/students/studgroup/;;;1;1;1;1;1;;1;3;3;2;1;0;1;;;1;1;;;1c-bitrix;bitrix special-aaVersion;php;;
Калужский государственный университет им. К.Э. Циолковского;общий;https://tksu.ru/;Kaluga State University;213;;;;;Калуга;40;https://tksu.ru/;https://tksu.ru/abitur/;https://tksu.ru/students/life/;;;1;1;1;1;1;;1;3;3;2;1;0;1;;;;;;;1c-bitrix;bitrix special-aaVersion;php;;
